column_name,Contain Value,Ratio
system.publication.license,1716,1.0
system.target.value,1716,1.0
system.requirements,1716,1.0
system.description.value,1716,1.0
system.level.value,1716,1.0
_id,1716,1.0
folder,1716,1.0
img,1716,1.0
name,1716,1.0
system.traits.rarity,1716,1.0
system.publication.remaster,1716,1.0
system.publication.title,1716,1.0
system.counteraction,1716,1.0
system.rules,1716,1.0
system.traits.value,1716,1.0
system.duration.sustained,1716,1.0
system.duration.value,1716,1.0
system.range.value,1716,1.0
type,1716,1.0
system.cost.value,1716,1.0
system.traits.traditions,1716,1.0
system.time.value,1716,1.0
system.defense.save.statistic,646,0.3764568764568765
system.defense.save.basic,646,0.3764568764568765
system.heightening.type,515,0.30011655011655014
system.heightening.interval,392,0.22843822843822845
system.area.type,378,0.2202797202797203
system.area.value,378,0.2202797202797203
system.damage.0.formula,265,0.15442890442890442
system.damage.0.kinds,265,0.15442890442890442
system.damage.0.type,265,0.15442890442890442
system.damage.0.applyMod,260,0.15151515151515152
system.heightening.damage.0,228,0.13286713286713286
system.damage.0.materials,219,0.12762237762237763
system.ritual.secondary.checks,134,0.0780885780885781
system.ritual.secondary.casters,134,0.0780885780885781
system.ritual.primary.check,134,0.0780885780885781
system.heightening.area,106,0.06177156177156177
system.damage.1.formula,27,0.015734265734265736
system.damage.1.applyMod,27,0.015734265734265736
system.damage.1.kinds,27,0.015734265734265736
system.damage.1.type,27,0.015734265734265736
system.heightening.damage.1,23,0.013403263403263404
system.area.details,20,0.011655011655011656
system.damage.1.materials,17,0.009906759906759906
system.heightening.levels.3.target.value,15,0.008741258741258742
system.heightening.levels.6.target.value,14,0.008158508158508158
system.heightening.levels.4.target.value,13,0.007575757575757576
system.traits.selected,11,0.00641025641025641
system.defense.passive.statistic,11,0.00641025641025641
system.heightening.levels.5.target.value,11,0.00641025641025641
system.heightening.levels.7.target.value,10,0.005827505827505828
system.heightening.levels.3.range.value,10,0.005827505827505828
system.heightening.levels.5.range.value,9,0.005244755244755245
system.heightening.levels.8.target.value,9,0.005244755244755245
system.heightening.levels.9.target.value,8,0.004662004662004662
system.traits.selected.necromancy,6,0.0034965034965034965
system.heightening.levels.7.area.type,6,0.0034965034965034965
system.heightening.levels.7.area.value,6,0.0034965034965034965
system.heightening.levels.9.damage.0.type,5,0.002913752913752914
system.heightening.levels.7.range.value,5,0.002913752913752914
system.heightening.levels.4.area.type,5,0.002913752913752914
system.damage.1.category,5,0.002913752913752914
system.heightening.levels.4.area.value,5,0.002913752913752914
system.description.gm,5,0.002913752913752914
system.heightening.levels.3.area.type,5,0.002913752913752914
system.heightening.levels.9.damage.0.applyMod,5,0.002913752913752914
system.heightening.levels.9.damage.0.formula,5,0.002913752913752914
system.heightening.levels.3.area.value,5,0.002913752913752914
system.heightening.levels.8.damage.0.materials,4,0.002331002331002331
system.heightening.levels.8.damage.0.type,4,0.002331002331002331
system.heightening.levels.6.area.value,4,0.002331002331002331
system.heightening.levels.8.damage.0.formula,4,0.002331002331002331
system.heightening.levels.4.range.value,4,0.002331002331002331
system.traits.selected.evocation,4,0.002331002331002331
system.heightening.levels.8.damage.0.applyMod,4,0.002331002331002331
system.heightening.levels.9.area.value,4,0.002331002331002331
system.heightening.levels.10.area.type,4,0.002331002331002331
system.heightening.levels.10.area.value,4,0.002331002331002331
system.heightening.levels.9.area.type,4,0.002331002331002331
system.heightening.levels.10.damage.0.applyMod,4,0.002331002331002331
system.heightening.levels.10.damage.0.formula,4,0.002331002331002331
system.heightening.levels.4.area.areaType,4,0.002331002331002331
system.heightening.levels.10.damage.0.type,4,0.002331002331002331
system.heightening.levels.6.area.type,4,0.002331002331002331
system.heightening.levels.6.range.value,3,0.0017482517482517483
system.traits.selected.incapacitation,3,0.0017482517482517483
system.heightening.levels.5.area.value,3,0.0017482517482517483
system.heightening.levels.9.damage.0.materials,3,0.0017482517482517483
system.heightening.levels.10.area.areaType,3,0.0017482517482517483
system.heightening.levels.10.range.value,3,0.0017482517482517483
system.heightening.levels.10.damage.0.materials,3,0.0017482517482517483
system.heightening.levels.9.range.value,3,0.0017482517482517483
system.traits.selected.witch,3,0.0017482517482517483
system.traits.selected.conjuration,3,0.0017482517482517483
system.heightening.levels.10.target.value,3,0.0017482517482517483
system.heightening.levels.2.target.value,3,0.0017482517482517483
system.heightening.levels.7.area.areaType,3,0.0017482517482517483
system.damage.0.category,3,0.0017482517482517483
system.heightening.levels.5.area.type,3,0.0017482517482517483
system.heightening.levels.5.damage.0.applyMod,2,0.0011655011655011655
system.traits.selected.divination,2,0.0011655011655011655
system.traits.selected.shadow,2,0.0011655011655011655
system.heightening.levels.5.damage.0.type,2,0.0011655011655011655
system.traits.selected.teleportation,2,0.0011655011655011655
system.heightening.levels.5.damage.0.materials,2,0.0011655011655011655
system.traits.selected.darkness,2,0.0011655011655011655
system.heightening.levels.5.damage.0.formula,2,0.0011655011655011655
system.traits.selected.mental,2,0.0011655011655011655
system.heightening.damage.LWLaBwdvEpvNhrrl,2,0.0011655011655011655
system.damage.LWLaBwdvEpvNhrrl.type,2,0.0011655011655011655
system.damage.LWLaBwdvEpvNhrrl.kinds,2,0.0011655011655011655
system.damage.LWLaBwdvEpvNhrrl.formula,2,0.0011655011655011655
system.damage.LWLaBwdvEpvNhrrl.applyMod,2,0.0011655011655011655
system.traits.selected.hex,2,0.0011655011655011655
system.damage.LWLaBwdvEpvNhrrl.materials,2,0.0011655011655011655
system.damage.5.formula,1,0.0005827505827505828
system.damage.5.kinds,1,0.0005827505827505828
system.damage.5.materials,1,0.0005827505827505828
system.damage.5.type,1,0.0005827505827505828
system.traits.selected.attack,1,0.0005827505827505828
system.traits.selected.nonlethal,1,0.0005827505827505828
system.damage.YLzufF5UKRGjT83M.applyMod,1,0.0005827505827505828
system.damage.YLzufF5UKRGjT83M.formula,1,0.0005827505827505828
system.damage.YLzufF5UKRGjT83M.kinds,1,0.0005827505827505828
system.damage.YLzufF5UKRGjT83M.materials,1,0.0005827505827505828
system.damage.YLzufF5UKRGjT83M.type,1,0.0005827505827505828
system.heightening.damage.YLzufF5UKRGjT83M,1,0.0005827505827505828
system.damage.5pokjjlq2v8f132j.applyMod,1,0.0005827505827505828
system.damage.5pokjjlq2v8f132j.formula,1,0.0005827505827505828
system.damage.5pokjjlq2v8f132j.kinds,1,0.0005827505827505828
